FileName,SVM_C,SVM_gamma,SVM_kernel
sp_0_1.csv,3.1790404319763184,0.0009981101611629128,rbf
sp_0_10.csv,3.153871536254883,0.0009981266921386123,rbf
sp_0_11.csv,3.118295192718506,0.0009981265757232904,rbf
sp_0_12.csv,3.178086757659912,0.0009981227340176702,rbf
sp_0_2.csv,3.1234521865844727,0.0009981257608160377,rbf
sp_0_3.csv,3.14223575592041,0.0009981151670217514,rbf
sp_0_4.csv,3.179603099822998,0.0009981204057112336,rbf
sp_0_5.csv,3.1047158241271973,0.0009981326293200254,rbf
sp_0_6.csv,3.1794052124023438,0.0009981133043766022,rbf
sp_0_7.csv,3.1246089935302734,0.0009981164475902915,rbf
sp_0_8.csv,3.1922006607055664,0.0009981186594814062,rbf
sp_0_9.csv,3.129546642303467,0.0009981233160942793,rbf
sp_0_Features_Variant_1.csv,3.000790596008301,0.000997763592749834,rbf
sp_0_Features_Variant_2.csv,2.9578514099121094,0.0009977605659514666,rbf
sp_0_Features_Variant_3.csv,2.871495246887207,0.000997652648948133,rbf
