AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,n_components,covariance_type0,covariance_type1,covariance_type2,covariance_type3
11.0,0.0,9.634811050171855,795.0,63.325425599524756,3.185142272416065,1.5613518091563572,1.3576125290480197,1.2457747029479278,3.185142272416065,1.5613518091563572,1.3576125290480197,1.2457747029479278,-0.9797684881254894,-0.1825488503292155,-0.12291183502668146,0.1392455903414769,-3.988580698286031,-3.438459163255601,-3.2941106578528663,-7.483858767739017,8.514639491199759,17.06349782244003,10.897524694005186,7.570786086209697,0.6983019854949098,3.0711585868661686,2.8492739235235796,-0.5475747907530331,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,6.0,1.0,0.0,0.0,0.0
11.0,0.0,9.64925617751736,803.0,63.363099785833654,2.172872226912165,1.523189288740712,1.3367351021740514,1.303813967211858,2.172872226912165,1.523189288740712,1.3367351021740514,1.303813967211858,-0.1629728457293698,-0.03611532867632071,-0.1804587371948433,0.15786716660407546,-4.301130930827895,-5.071661730534804,-8.749872399739518,-4.611224259081828,5.816188055457466,12.458482377401829,9.350565419881656,5.9730062007459575,0.7770443440874948,1.3369543685223937,1.5974128229980882,-0.2754629691051805,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,6.0,0.0,0.0,1.0,0.0
123.0,0.983739837398374,9.049848549450575,530.0,43.47137182261034,0.9610427882530996,0.9307123844354166,0.8883310864416607,0.85515642048532,0.9610427882530996,0.9307123844354166,0.8883310864416607,0.85515642048532,0.004736919846223223,-0.05025347162815865,-0.027148946625870488,-0.08104870286269816,-2.1036908472601765,-1.9553072655835946,-1.853614642959561,-1.9079577327639814,2.1411857100575773,2.510208242705211,2.253147528015074,1.9313199256999034,0.03446208168235464,0.27101760125139607,0.14820035784395205,0.17781825659013858,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,2.0,1.0,0.0,0.0,0.0
43.0,0.11627906976744186,9.296916206879262,629.0,14.42087562895331,1.2430272151702806,1.0540108891251978,1.0131971836791238,0.9351480065526028,1.2430272151702806,1.0540108891251978,1.0131971836791238,0.9351480065526028,-0.06999221294509582,-0.03539168167994574,-0.040808027841496126,-0.037005969109371185,-2.5379829253570816,-2.210247489930594,-2.271447693142387,-2.1918088462148972,3.0059492298135257,2.5242438826559783,2.3607767239045945,2.4756969696253868,0.1642459582978016,0.1356059341023707,0.18573134441021766,0.10665334210683175,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,5.0,0.0,1.0,0.0,0.0
43.0,0.13953488372093023,9.64925617751736,803.0,16.01113977118844,1.3499228190321249,1.0770466456919061,0.9803727725862144,0.9592536013382267,1.3499228190321249,1.0770466456919061,0.9803727725862144,0.9592536013382267,-0.07682127912223116,-0.027294806132364114,-0.07432992599367509,-0.03919706631146202,-2.6628692521553634,-2.117044825742392,-2.117091649216534,-2.2273179676109653,2.701253565734722,2.9092543668633675,2.6717185015712683,2.7974801050079225,0.13134800360425303,0.1346010404782008,0.3411598759203017,0.2132538190997977,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,2.0,0.0,1.0,0.0,0.0
55.0,0.6727272727272727,9.836050355058168,914.0,74.1743866788898,1644.335748935382,1155.2166409562221,279.41359688472903,186.5959959199288,1644.335748935382,1155.2166409562221,279.41359688472903,186.5959959199288,-262.3686694180436,43.57396399104036,-10.118111943821972,-21.140231781876324,-2883.87999844917,-3810.45606091898,-808.6829987830467,-401.51467395478306,5157.932120967638,4302.967098870866,844.4822914287573,698.6662439844902,0.7476206586215167,0.1713270924651608,0.009654769744694378,0.5727394183568691,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,3.0,1.0,0.0,0.0,0.0
66.0,0.15151515151515152,9.344295907915894,650.0,255.05151265506322,461.47760992715456,429.5951623670277,71.75265511840534,55.88441070947381,461.47760992715456,429.5951623670277,71.75265511840534,55.88441070947381,-81.54141879606861,220.37296934795455,5.167201940014488,-21.755848529051427,-381.0842065084768,-682.9713160541453,-165.80338732221531,-82.54050146842545,1860.586157215764,1061.3688639521877,177.62370609323736,124.66393431641708,2.095676066904035,-0.4819368767208875,-0.2988817332358318,0.8183521737407035,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,3.0,0.0,0.0,1.0,0.0
117.0,0.017094017094017096,9.11113567023464,553.0,52.7947043886722,35.23918035191742,2.7652458982960195,0.6282499935261858,0.6152865618731573,35.23918035191742,2.7652458982960195,0.6282499935261858,0.6152865618731573,-19.99357887162387,-1.2739789096057843,-0.004492886334185791,-0.02566324433401964,-63.99369718906568,-3.1052955730510137,-1.5096320530986653,-1.575823649219201,86.07655778755034,6.2171336602830785,1.63640168485005,1.6810717801030053,0.5185695955763105,1.290281428011883,0.028140080453383624,0.11647121768362044,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,5.0,0.0,0.0,0.0,1.0
117.0,0.017094017094017096,9.871905237659172,937.0,52.27677445473387,35.492576005483166,2.723254909849645,0.6266661967541798,0.5949052776694611,35.492576005483166,2.723254909849645,0.6266661967541798,0.5949052776694611,-21.421609582609708,-1.1957852920055136,0.004988644008793004,-0.009751051774903643,-66.42091495493608,-2.971183503696814,-1.5616462663589048,-1.5734531320454772,83.57393188508196,6.064268816755975,1.6453397881289338,1.6831763735403147,0.3956523357574917,1.3593236083663423,-0.01012151947219254,0.04448813928854282,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,6.0,0.0,0.0,0.0,1.0
26.0,0.0,9.932214751968523,977.0,209.3197790627331,12.212813491415996,2.4957529666948433,1.114627227764767,0.5764445525375974,12.212813491415996,2.4957529666948433,1.114627227764767,0.5764445525375974,-1.9073600285182402,-0.6615270140678613,-0.26014571804879405,0.2006113186344202,-13.871526188418388,-5.526583320966045,-2.1989664592869715,-1.1489984658036376,42.24200689021795,7.131941943308793,4.900325356415951,1.488180247282208,1.1844278336770968,0.5165949548690328,2.001164590885259,0.20448487535927823,9.932214751968523,9.932214751968523,9.932214751968523,9.932214751968523,9.932214751968523,6.0,0.0,0.0,0.0,1.0
