AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,LabelEntropy,alpha,l1_ratio
33.0,0.48484848484848486,9.011227255423215,516.0,88.0104680933975,9848.638902268049,1356.689033731238,83.94052900675663,59.57508915229747,9848.638902268049,1356.689033731238,83.94052900675663,59.57508915229747,-326.2273179502927,-376.9762534108566,-18.169195248083508,5.868422397259987,-17226.85441206597,-1311.9976406583921,-176.32208766609781,-208.17807711117248,17718.927122828798,8604.235677310055,618.43950596807,276.03113344286663,0.021077518258752953,3.0950296501528376,2.1266535402540554,-0.4804100665930579,9.011227255423215,9.011227255423215,9.011227255423215,9.011227255423215,9.011227255423215,7.147560771283826,4.0,0.5
33.0,0.48484848484848486,9.663558104217229,811.0,89.1205721889308,10190.061472967765,1055.4895219171253,77.19226955987092,52.799663792392,10190.061472967765,1055.4895219171253,77.19226955987092,52.799663792392,108.39953201896658,-292.45292497492545,-15.942832038961534,-9.574058956517971,-17089.03287090969,-1215.0324102328455,-202.96902537661106,-179.7046944193845,17863.60213931077,5712.129809156735,757.9096083024483,222.03497074076492,0.025062341385151364,2.0803500016345926,2.627665707179006,1.2922974044375055,9.663558104217229,9.663558104217229,9.663558104217229,9.663558104217229,9.663558104217229,7.434703379125108,0.125,0.5
33.0,0.48484848484848486,9.90237511448614,957.0,90.35844746938277,10074.899615656468,1176.8168319538115,80.26217801136042,53.75351547097716,10074.899615656468,1176.8168319538115,80.26217801136042,53.75351547097716,-810.1190459464407,-368.0419121154961,-14.342897951025726,-13.309532683228477,-16701.71456971464,-1406.8306177129314,-554.0204394521297,-96.82939058550662,18183.40175778127,8142.709836090948,659.4217345133281,279.28747957993556,0.12570324272024658,2.381770098819877,1.1918353621769688,1.5551238833081564,9.90237511448614,9.90237511448614,9.90237511448614,9.90237511448614,9.90237511448614,7.43688027508487,4.0,0.5
33.0,0.48484848484848486,9.245552706255674,607.0,88.96292145708668,9887.367524420997,1325.773587614421,84.47556937509265,53.55838352935312,9887.367524420997,1325.773587614421,84.47556937509265,53.55838352935312,-177.0820516042288,-436.110051038626,-17.318742630418548,-11.121469295977196,-16931.67871172989,-1325.7818478166992,-261.4468144657473,-82.94234908170222,17999.567326724,7688.11907093485,700.7483009615017,202.66233257137074,0.08854100125056417,2.286867954895665,2.343427194511247,1.2267279418047097,9.245552706255674,9.245552706255674,9.245552706255674,9.245552706255674,9.245552706255674,7.31489596512332,32.0,0.25
33.0,0.48484848484848486,9.870364719583508,936.0,89.45066300708355,10323.426089237662,1227.284973049788,75.37355354348931,50.40649754050745,10323.426089237662,1227.284973049788,75.37355354348931,50.40649754050745,-234.2736787375112,-400.5686970369905,-18.192308548918415,-8.5771434699551,-17399.32549317069,-1267.7103402534299,-245.1817872945797,-126.97279297399484,17645.94079922456,8171.555715609213,458.82956307301106,226.53629576384796,-0.0006903918692621238,2.831788741910998,1.4238664341758551,1.1856815351909344,9.870364719583508,9.870364719583508,9.870364719583508,9.870364719583508,9.870364719583508,7.271011079145055,1.0,0.25
33.0,0.48484848484848486,9.717676423066473,842.0,87.24730859763159,9757.947404885923,972.213845676718,70.24459786504309,47.58931757345228,9757.947404885923,972.213845676718,70.24459786504309,47.58931757345228,-607.6172335887428,-304.563431832438,-16.29036455318545,-5.234825195960017,-17096.74380071885,-920.9860766429546,-360.92648060463966,-155.30040915551868,17902.621091810797,7789.439440249727,423.75360571307516,293.600542174637,0.07434600950351586,3.2771057496252007,1.1544508435643381,1.2511804199406653,9.717676423066473,9.717676423066473,9.717676423066473,9.717676423066473,9.717676423066473,7.012949420687817,0.5,0.125
33.0,0.48484848484848486,9.219168520462071,596.0,88.64910098326823,9809.707716867282,1128.5571468163,87.55193667412274,51.780758010426766,9809.707716867282,1128.5571468163,87.55193667412274,51.780758010426766,-956.0699526267806,-338.32699513599687,-14.886264351075576,-10.690346499694343,-16444.645469362968,-1165.8930959723964,-753.9184537383162,-84.49786846642176,18489.87307015719,8711.649040098562,855.219991368399,232.378663218657,0.2258390895205067,2.9207168656896676,1.4646369830541386,1.2069742048890804,9.219168520462071,9.219168520462071,9.219168520462071,9.219168520462071,9.219168520462071,7.301528114186823,1.0,0.5
33.0,0.48484848484848486,9.824958740528656,907.0,89.98044159632163,9942.675590436333,1202.1164336110025,76.61234559052866,53.11617833974265,9942.675590436333,1202.1164336110025,76.61234559052866,53.11617833974265,6.850854773762441,-369.32970331635875,17.22460055047915,-8.866848947946341,-17189.051291987293,-1239.2293535671188,-394.17963359747995,-135.58747322531994,17827.191592709303,8150.608539430223,461.1777188124499,218.27666312287903,0.04613573120622806,2.6255294929530058,-1.0933267828221582,1.0420826261115512,9.824958740528656,9.824958740528656,9.824958740528656,9.824958740528656,9.824958740528656,7.438641511180125,1.0,0.25
33.0,0.48484848484848486,9.038918989292297,526.0,88.00447955915342,10127.252058868959,1200.7369446017865,87.78501309574519,59.27960138970908,10127.252058868959,1200.7369446017865,87.78501309574519,59.27960138970908,33.68123080581356,-375.04721644189885,15.259885399332385,-13.730688882845765,-17476.410816283198,-1181.4250473274303,-426.07276106699067,-83.60627581551036,17533.74393875117,8245.762823831636,494.47459572035365,274.13210710783306,0.02065021554476511,2.8313983606103537,-0.5074675058741157,1.600713481113787,9.038918989292297,9.038918989292297,9.038918989292297,9.038918989292297,9.038918989292297,7.204169953436164,2.0,0.015625
33.0,0.48484848484848486,9.76321236681425,869.0,87.39487286080147,9859.774480452357,830.5041938878883,70.37755242602267,49.09307335729555,9859.774480452357,830.5041938878883,70.37755242602267,49.09307335729555,-327.0161197862383,-224.48058297567354,-13.883043647936125,4.35792421328948,-16744.027468069533,-941.9004694522524,-252.21202222819514,-230.3946866565234,18156.97513718842,7099.852343897107,347.24127757185965,248.78623236392104,0.06887753322882653,2.49294243212048,1.0623686242619799,-0.7663125855539568,9.76321236681425,9.76321236681425,9.76321236681425,9.76321236681425,9.76321236681425,7.1395947410707,2.0,0.015625
