0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
23.0,0.30434782608695654,9.743151394112527,857.0,19.741500332869563,3.371201936579094,2.7963953451660064,2.445435585973635,1.8195881394703464,3.371201936579094,2.7963953451660064,2.445435585973635,1.8195881394703464,-0.3531637132608692,-0.19025853691983774,-0.1740311257266612,0.10816809718804052,-6.18537887649022,-6.864663751233299,-5.826016173488523,-4.7564518808362495,8.615809124448319,8.498439192185826,6.272244461733773,5.698130297219817,0.4001030623191452,0.3356211076612829,0.2071682654343922,-0.1811559336185262,9.743151394112527,9.743151394112527,9.743151394112527,9.743151394112527,9.743151394112527
11.0,0.0,9.134426320220998,562.0,55.17541715712657,672328.1609950025,862.0253559048053,494.35461221899544,475.07519662403564,672328.1609950025,862.0253559048053,494.35461221899544,475.07519662403564,15661.344388299185,-220.48400140914555,24.783733608389987,-24.79884745276414,-1183409.4286619655,-1792.6123142666272,-3652.6367602706455,-1905.4205094132233,1185198.0761628181,3086.595985805241,3678.2331162100627,3740.5103202619575,-0.010896824860790846,1.044823090039395,-1.7734339065732176,1.048674519280162,9.134426320220998,9.134426320220998,9.134426320220998,9.134426320220998,9.134426320220998
11.0,0.0,9.722807531169707,845.0,49.020070408962766,172746.4974585343,811.2436165360908,502.2516300833239,407.1607752805804,172746.4974585343,811.2436165360908,502.2516300833239,407.1607752805804,-372.84107179699475,-383.01985663921164,-271.3476207885147,62.99587108136308,-291934.96798042575,-1616.9085613463983,-1845.9402425678584,-2078.0896390529633,312596.2666855495,2194.8380527895392,2898.5490782436514,3693.16268785667,0.04366342797173033,1.6924657064897115,1.6364709689167303,1.7609764041006144,9.722807531169707,9.722807531169707,9.722807531169707,9.722807531169707,9.722807531169707
41.0,0.024390243902439025,9.38370429247408,668.0,321.445080277888,4.585622412122465,2.7597577008830223,1.2268211986746305,1.1997597763374255,4.585622412122465,2.7597577008830223,1.2268211986746305,1.1997597763374255,-1.0231498770694953,-0.7070674741761585,0.07040428589735506,-0.008489587063957093,-8.217534327974741,-5.153418976714871,-3.5929433732476017,-3.3137364279213295,12.342397672234492,7.804781045834283,3.6521396711940795,3.704324000892685,0.6546230187639436,0.8050217983453969,-0.11859657722638306,0.10911021398590029,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408
41.0,0.024390243902439025,9.413627929024134,682.0,321.77697255359465,4.938444453306793,2.510146674896719,1.2289223385900003,1.1921291316771967,4.938444453306793,2.510146674896719,1.2289223385900003,1.1921291316771967,-0.13425557916678352,-0.002350906170660481,0.011748878811398872,-0.06315362049636336,-10.244615983907059,-5.3382283661187735,-3.975009495343024,-3.3798896744514053,10.505381645413854,5.562134933543959,3.9978884650149173,3.6525293465605784,0.0029309671446754357,0.026179690271291717,0.04940738502108313,0.09257574416337815,9.413627929024134,9.413627929024134,9.413627929024134,9.413627929024134,9.413627929024134
23.0,0.30434782608695654,9.743151394112527,857.0,19.870000397247882,3.402794304699392,2.869150452465177,2.401944471959968,1.8530268357819937,3.402794304699392,2.869150452465177,2.401944471959968,1.8530268357819937,-0.15997881923292842,-0.3299796302440304,-0.2730635411424706,0.03824643152284804,-6.816069571779001,-6.952763571611748,-5.939402550612322,-5.272734677355665,7.208134086296582,9.103171373514252,6.347149424522439,6.049489642937471,0.12124478099829233,0.6680358847989964,0.24958061573491763,-0.06756624405737677,9.743151394112527,9.743151394112527,9.743151394112527,9.743151394112527,9.743151394112527
11.0,0.0,9.722807531169707,845.0,49.15724491603427,174100.1943424733,889.3542015477803,579.0821567531752,403.16994081710874,174100.1943424733,889.3542015477803,579.0821567531752,403.16994081710874,1173.9059140908653,-405.60732034879356,-266.5122240224655,-28.773637593541014,-299436.490104663,-1902.8911526220663,-1046.0517719265117,-4186.333014690657,305439.1122564445,3275.9615233688296,6238.193385007047,4243.333723914444,4.6342927544859466e-05,1.4527018869000323,3.4046115941502118,-0.10259174069582885,9.722807531169707,9.722807531169707,9.722807531169707,9.722807531169707,9.722807531169707
11.0,0.09090909090909091,9.359749560322461,657.0,55.82431675861849,200151.212804618,943.7724008079717,592.9162015368418,411.0121014613364,200151.212804618,943.7724008079717,592.9162015368418,411.0121014613364,-3148.990047462973,-414.63163339031183,66.57533931095305,-86.20103989168011,-341477.3872612643,-1782.5675556636713,-3577.4206037975255,-1800.4471338418493,346350.4364725607,2163.3702967629633,4881.193560033271,1885.8869987651497,0.029761953987431058,1.1061642865842378,-0.24784041452301675,0.9854364878869021,9.359749560322461,9.359749560322461,9.359749560322461,9.359749560322461,9.359749560322461
41.0,0.024390243902439025,9.38370429247408,668.0,321.2310328321734,4.463740493992562,2.8087622171912408,1.2151720953430305,1.188298507870649,4.463740493992562,2.8087622171912408,1.2151720953430305,1.188298507870649,-0.9770628135119986,-0.7547622226319831,0.043717412189231135,0.015465589105654012,-8.112930790689886,-5.082764298207725,-3.632214296621836,-3.270953282471713,12.176414039100004,8.041970695888883,3.6714874941634643,3.7051502296305117,0.6702826479635114,0.7619738788798156,-0.17525492221813263,0.039131194228247644,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408
41.0,0.024390243902439025,9.413627929024134,682.0,321.3835684730096,4.933121733626461,2.5441002999225493,1.221342054011841,1.2115299745203576,4.933121733626461,2.5441002999225493,1.221342054011841,1.2115299745203576,0.21204440206759428,-0.051925405549357595,0.037580809257535874,-0.01684710100396481,-9.727236891950257,-5.692100408270725,-3.484983992887811,-3.7389893205710836,10.400794513550476,6.035759648330429,3.53187333976207,4.115871115475538,0.016621796271996447,0.03408788591049693,0.02919918332312893,-0.005137109949388506,9.413627929024134,9.413627929024134,9.413627929024134,9.413627929024134,9.413627929024134
11.0,0.0,9.77148946950061,874.0,51.25153776227097,646585.4960520299,862.5918539431677,557.4276153325314,456.9705737359709,646585.4960520299,862.5918539431677,557.4276153325314,456.9705737359709,7701.692303609632,-225.6124213420709,144.7816418200624,69.51515159874884,-1117557.3214963337,-1427.3151271667605,-2629.693162368664,-4587.133669613406,1131784.4242419414,2963.397000007332,2836.5343983612333,4775.293516731925,0.030091142897369676,0.9242250010985557,-0.7783575551937855,3.4467336514619626,9.77148946950061,9.77148946950061,9.77148946950061,9.77148946950061,9.77148946950061
