AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,LabelEntropy,LabelNum,C,gamma,kernel0,kernel1,kernel2,kernel3
11.0,0.0,9.634811050171855,795.0,63.32542559952467,3.185142272416067,1.5613518091563574,1.3576125290480212,1.2457747029479294,3.185142272416067,1.5613518091563574,1.3576125290480212,1.2457747029479294,-0.9797684881254894,-0.18254885032921517,-0.12291183502668296,0.1392455903414765,-3.9885806982860386,-3.438459163255596,-3.294110657852874,-7.483858767739023,8.514639491199764,17.063497822440045,10.897524694005195,7.570786086209756,0.6983019854949098,3.0711585868661753,2.8492739235235716,-0.5475747907530252,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,2.7414331750064362,12.0,64.0,0.0625,0.0,1.0,0.0,0.0
11.0,0.0,9.64925617751736,803.0,63.363099785833626,2.172872226912167,1.523189288740711,1.336735102174051,1.303813967211859,2.172872226912167,1.523189288740711,1.336735102174051,1.303813967211859,-0.16297284572936951,-0.03611532867632089,-0.1804587371948407,0.15786716660407563,-4.301130930827896,-5.071661730534799,-8.749872399739536,-4.611224259081837,5.816188055457471,12.458482377401795,9.350565419881677,5.973006200745903,0.7770443440874942,1.3369543685223928,1.5974128229980906,-0.2754629691051923,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,2.6187906411504693,11.0,8.0,0.25,0.0,1.0,0.0,0.0
123.0,0.983739837398374,9.049848549450575,530.0,43.47137182261025,0.9610427895404674,0.9307123835440516,0.8883310833555754,0.8551564240534049,0.9610427895404674,0.9307123835440516,0.8883310833555754,0.8551564240534049,0.004739649636558704,-0.05021331044091697,-0.027294548289377375,-0.08108624528703004,-2.1035728912475005,-1.9551977500689943,-1.8534370951900079,-1.9078508199157906,2.141176437605696,2.510342963171536,2.2530503570345775,1.931308243356953,0.03447892596841319,0.27107131128815465,0.14831043842216904,0.17797903641412652,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,1.2045493547840236,3.0,16.0,0.015625,0.0,1.0,0.0,0.0
43.0,0.11627906976744186,9.296916206879262,629.0,14.420875628953317,1.2430272151706852,1.0540108891669089,1.0131971837591922,0.935148006693645,1.2430272151706852,1.0540108891669089,1.0131971837591922,0.935148006693645,-0.06999298210519418,-0.03539067473279002,-0.040808720886165176,-0.036961776291036384,-2.5379825569457006,-2.2102463801780803,-2.271449480158751,-2.191780691404126,3.005948379793276,2.524244755078042,2.3607927679012612,2.4757303199454417,0.1642459088014936,0.1356064219447685,0.18573313104200756,0.1066521949694494,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,0.9990352922979928,2.0,64.0,0.03125,0.0,1.0,0.0,0.0
43.0,0.13953488372093023,9.64925617751736,803.0,16.011139771188432,1.3499228190321475,1.0770466456592414,0.9803727728755327,0.9592536014180879,1.3499228190321475,1.0770466456592414,0.9803727728755327,0.9592536014180879,-0.07682090569917926,-0.027294230538773744,-0.07432684894848458,-0.039178568238104464,-2.662869640944888,-2.1170730639802766,-2.117116845607658,-2.2273098016420865,2.7012534703478828,2.9092624638094735,2.6716761674886027,2.7974600692577978,0.1313478978515788,0.13460074084396362,0.34114327977483133,0.21324581486790006,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,0.9979305348828202,2.0,8.0,0.015625,0.0,1.0,0.0,0.0
55.0,0.6727272727272727,9.836050355058168,914.0,74.17438667888987,1644.335748935382,1155.216640956222,279.41359688472875,186.59599591992878,1644.335748935382,1155.216640956222,279.41359688472875,186.59599591992878,-262.3686694180442,43.573963991040706,-10.118111943822132,-21.140231781876274,-2883.8799984491707,-3810.4560609189803,-808.6829987830463,-401.51467395478284,5157.932120967641,4302.967098870866,844.4822914287568,698.6662439844903,0.7476206586215176,0.1713270924651602,0.009654769744694048,0.5727394183568703,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,1.7445223620990762,7.0,2.0,0.0009765625,0.0,1.0,0.0,0.0
66.0,0.15151515151515152,9.344295907915894,650.0,255.0515126550632,461.4776099271542,429.59516236702757,71.75265511840529,55.88441070947386,461.4776099271542,429.59516236702757,71.75265511840529,55.88441070947386,-81.54141879606851,220.3729693479521,5.167201940014514,-21.75584852905137,-381.08420650847563,-682.9713160541451,-165.8033873222153,-82.54050146842512,1860.5861572157614,1061.3688639521874,177.62370609323713,124.66393431641737,2.0956760669040357,-0.4819368767208881,-0.2988817332358316,0.818352173740703,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,0.5801954953637369,2.0,1.0,0.0009765625,0.0,1.0,0.0,0.0
117.0,0.017094017094017096,9.11113567023464,553.0,52.794704388672194,35.23918035191741,2.7652458982960195,0.6282417473312241,0.6152852885307942,35.23918035191741,2.7652458982960195,0.6282417473312241,0.6152852885307942,-19.993578871623864,-1.2739789096147753,-0.0018910475157558808,-0.029082256230175026,-63.99369718906567,-3.1052955730479526,-1.5026047667112865,-1.5818779473909712,86.07655778755034,6.217133660290089,1.6366018888013776,1.6776003806347173,0.5185695955763104,1.2902814280119357,0.03243744094894867,0.11503722854438235,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,0.9906174973781801,2.0,0.25,0.00390625,0.0,1.0,0.0,0.0
117.0,0.017094017094017096,9.871905237659172,937.0,52.276774454733896,35.49257600548317,2.7232549098496457,0.6266681115460028,0.5948418485351383,35.49257600548317,2.7232549098496457,0.6266681115460028,0.5948418485351383,-21.421609582609708,-1.1957852920033345,0.005384043407455658,-0.013321004259022889,-66.42091495493608,-2.971183503694135,-1.5635592106465106,-1.574815291022713,83.57393188508196,6.06426881675291,1.650297436554815,1.6911575744260081,0.39565233575749176,1.3593236083662164,-0.01292498168959919,0.0465795468494173,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,0.995854294841012,2.0,32.0,0.001953125,0.0,1.0,0.0,0.0
26.0,0.0,9.932214751968523,977.0,209.31977906273318,12.212813491415986,2.4957529666948393,1.1146272277647675,0.5764445525375984,12.212813491415986,2.4957529666948393,1.1146272277647675,0.5764445525375984,-1.9073600285182652,-0.6615270140678629,-0.26014571805167136,0.20061131841700638,-13.87152618841841,-5.526583320966056,-2.198966459293555,-1.1489984660956871,42.242006890217915,7.1319419433088225,4.900325356429617,1.488180247325681,1.1844278336770968,0.5165949548690414,2.001164590884462,0.204484875765104,9.932214751968523,9.932214751968523,9.932214751968523,9.932214751968523,9.932214751968523,5.0210884672746605,57.0,64.0,2.0,0.0,1.0,0.0,0.0
