,best_param,net_param,opt_param,best_score,predicted_score,optimized_score,best_time,ours_time
sp_autism-child.csv,"[1, 0.0078125, 'rbf']","[3.117825984954834, 0.0009980687173083425, 'rbf']","['4.409271793042379', '0.0009980687173083425', 'rbf']",0.9877551020408163,0.9878367346938776,0.9837551020408164,9.942767143249512,2.849517822265625
sp_breast-cancer(diagnostic).csv,"[0.0625, 0.00390625, 'sigmoid']","[3.141026020050049, 0.0009980687173083425, 'rbf']","['2.221040798660782', '0.0009980687173083425', 'rbf']",0.9736793728034604,0.9692998107596648,0.9649202487158691,21.246273517608643,3.200727939605713
sp_car.csv,"[16, 0.125, 'rbf']","[3.1030054092407227, 0.0009980687173083425, 'rbf']","['24.82404327392579', '0.0009980687173083425', 'rbf']",0.9829047673227898,0.6997895096142907,0.8440038684719535,61.57268166542053,14.198957920074465
sp_cmc_0_1.csv,"[4, 0.0078125, 'rbf']","[3.0587553977966313, 0.0009980688337236645, 'rbf']","['6.117510795593261', '0.0009980688337236645', 'rbf']",0.7615834386852086,0.6761694058154235,0.7010903919089759,19.363373517990112,6.764444828033447
sp_divorce.csv,"[0.125, 0.00390625, 'sigmoid']","[3.2152800559997563, 0.0009980688337236645, 'rbf']","['3.215280055999756', '0.0009980688337236645', 'rbf']",1.0,0.9771428571428572,0.9771428571428572,9.114380121231079,2.160077810287476
sp_ecoli.csv,"[8, 0.0625, 'rbf']","[3.218368530273437, 0.0009980688337236645, 'rbf']","['25.746948242187504', '0.0009980688337236645', 'rbf']",0.8630103230103231,0.425900765900766,0.5235497835497835,136.18592810630798,47.67914867401123
sp_extention.csv,"[2, 0.0009765625, 'rbf']","[3.1650066375732417, 0.000998068950138986, 'rbf']","['3.1650066375732426', '0.0009980689501389865', 'rbf']",0.7195857570950115,0.7195857570950115,0.7195857570950115,19.308696746826172,9.963068008422852
sp_iris_modified2.csv,"[0.5, 1, 'rbf']","[3.2339911460876465, 0.000998068950138986, 'rbf']","['3.2339911460876465', '0.0009980689501389865', 'rbf']",0.9800000000000001,0.8700000000000001,0.8700000000000001,5.72741174697876,2.1229596138000493
sp_monk (1).csv,"[4, 0.5, 'rbf']","[3.0763988494873047, 0.0009980687173083425, 'rbf']","['3.0763988494873047', '0.0009980687173083425', 'rbf']",1.0,0.6770665569466485,0.6770665569466485,17.333202362060547,5.896444082260133
sp_sonar.csv,"[4, 0.125, 'sigmoid']","[3.1803855895996094, 0.0009980687173083425, 'rbf']","['12.721542358398436', '0.0009980687173083425', 'rbf']",0.6759338789401182,0.5336898684601464,0.567609323933771,11.396587610244751,4.255787134170531
sp_wine.csv,"[32, 0.0009765625, 'rbf']","[3.2538728713989262, 0.000998068950138986, 'rbf']","['14.193494109480937', '0.0009980689501389865', 'rbf']",0.7711552729199789,0.7085525020819139,0.7598854316501374,9.210217952728271,3.644111633300781
sp_zoo.csv,"[8, 0.0625, 'rbf']","[3.3643922805786133, 0.0009980695322155952, 'rbf']","['53.83027648925782', '0.0009980695322155957', 'rbf']",0.9698412698412697,0.4072985494038125,0.8925115819852663,10.148722887039185,3.965975284576416
